
- - - - - Day 1 - - - - - 
name, sellIn, price
Low Coverage, -19, 7
Mega Coverage, 0, 40
Mega Coverage, 0, 30
Special Full Coverage, -9, 50
Special Full Coverage, -14, 50
Special Full Coverage, -19, 50
Super Sale, -21, 0

- - - - - Day 25 - - - - - 
name, sellIn, price
Medium Coverage, -15, 20
Full Coverage, -23, 25
Low Coverage, -20, 7
Mega Coverage, 0, 40
Mega Coverage, 0, 30
Special Full Coverage, -10, 50
Special Full Coverage, -15, 50
Special Full Coverage, -20, 50
Super Sale, -22, 0

- - - - - Day 26 - - - - - 
name, sellIn, price
Medium Coverage, -16, 20
Full Coverage, -24, 26
Low Coverage, -21, 7
Mega Coverage, 0, 40
Mega Coverage, 0, 30
Special Full Coverage, -11, 50
Special Full Coverage, -16, 50
Special Full Coverage, -21, 50
Super Sale, -23, 0

- - - - - Day 27 - - - - - 
name, sellIn, price
Medium Coverage, -17, 20
Full Coverage, -25, 27
Low Coverage, -22, 7
Mega Coverage, 0, 40
Mega Coverage, 0, 30
Special Full Coverage, -12, 50
Special Full Coverage, -17, 50
Special Full Coverage, -22, 50
Super Sale, -24, 0

- - - - - Day 28 - - - - - 
name, sellIn, price
Medium Coverage, -18, 20
Full Coverage, -26, 28
Low Coverage, -23, 7
Mega Coverage, 0, 40
Mega Coverage, 0, 30
Special Full Coverage, -13, 50
Special Full Coverage, -18, 50
Special Full Coverage, -23, 50
Super Sale, -25, 0

- - - - - Day 29 - - - - - 
name, sellIn, price
Medium Coverage, -19, 20
Full Coverage, -27, 29
Low Coverage, -24, 7
Mega Coverage, 0, 40
Mega Coverage, 0, 30
Special Full Coverage, -14, 50
Special Full Coverage, -19, 50
Special Full Coverage, -24, 50
Super Sale, -26, 0

- - - - - Day 30 - - - - - 
name, sellIn, price
Medium Coverage, -20, 20
Full Coverage, -28, 30
Low Coverage, -25, 7
Mega Coverage, 0, 40
Mega Coverage, 0, 30
Special Full Coverage, -15, 50
Special Full Coverage, -20, 50
Special Full Coverage, -25, 50
Super Sale, -27, 0
